data_da_transacao,hora_da_transacao,localizacao_da_loja,quantidade_vendida,valor_unitario,valor_total,categoria_do_produto,nome_do_produto,tamanho,nome_do_mes,nome_do_dia,hora,mes,dia_da_semana
01-06-2023,11:33:29,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,11,6,3
02-06-2023,11:18:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,11,6,4
02-06-2023,12:02:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,12,6,4
02-06-2023,19:39:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,19,6,4
03-06-2023,12:24:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,12,6,5
03-06-2023,12:44:17,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,12,6,5
03-06-2023,13:58:14,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,13,6,5
03-06-2023,18:57:29,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,18,6,5
04-06-2023,14:31:43,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,14,6,6
04-06-2023,16:30:33,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,16,6,6
04-06-2023,17:53:30,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,17,6,6
05-06-2023,12:01:03,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,12,6,0
05-06-2023,14:19:59,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,14,6,0
05-06-2023,14:42:16,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,14,6,0
05-06-2023,15:51:35,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,15,6,0
05-06-2023,16:52:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,16,6,0
05-06-2023,19:51:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,19,6,0
07-06-2023,10:16:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,10,6,2
07-06-2023,10:59:19,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,10,6,2
07-06-2023,12:01:18,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,12,6,2
07-06-2023,15:05:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,15,6,2
07-06-2023,16:17:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,16,6,2
07-06-2023,19:56:37,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,19,6,2
08-06-2023,11:09:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,11,6,3
08-06-2023,12:09:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,12,6,3
08-06-2023,15:00:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,15,6,3
08-06-2023,16:58:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,16,6,3
08-06-2023,19:54:56,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,19,6,3
09-06-2023,08:39:35,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,8,6,4
09-06-2023,08:55:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,8,6,4
09-06-2023,09:10:06,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,9,6,4
09-06-2023,09:32:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,9,6,4
09-06-2023,12:04:39,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,12,6,4
10-06-2023,14:03:46,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,14,6,5
11-06-2023,09:10:48,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,9,6,6
11-06-2023,09:26:48,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,9,6,6
11-06-2023,09:32:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,9,6,6
11-06-2023,19:17:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,19,6,6
13-06-2023,07:33:17,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,7,6,1
13-06-2023,10:02:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,10,6,1
13-06-2023,10:56:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,10,6,1
13-06-2023,14:16:08,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,14,6,1
13-06-2023,16:14:54,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,16,6,1
13-06-2023,17:45:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,17,6,1
14-06-2023,08:17:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,8,6,2
14-06-2023,08:30:02,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,8,6,2
14-06-2023,10:20:10,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,10,6,2
14-06-2023,14:16:04,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,14,6,2
15-06-2023,07:39:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,7,6,3
15-06-2023,09:32:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,9,6,3
15-06-2023,10:45:52,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,10,6,3
15-06-2023,15:00:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,15,6,3
16-06-2023,17:39:04,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,17,6,4
16-06-2023,18:16:21,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,18,6,4
17-06-2023,07:44:27,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,7,6,5
17-06-2023,09:47:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,9,6,5
17-06-2023,09:49:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,9,6,5
18-06-2023,09:54:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,9,6,6
18-06-2023,11:39:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,11,6,6
19-06-2023,09:44:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,9,6,0
